20.14,5.11
20.06,5.34
46.18,54.56
52.96,68.02
38.61,26.79
17.92,2.5
22.57,6.33
22.63,6.41
48.8,58.95
28.34,11.34
24.19,7.4
43.77,38.78
20.32,5.88
55.44,103.3
51.16,79.05
20.98,5.74
46.47,54.23
45.26,49.8
24.25,7.88
45.78,53.72
20.15,5.88
18.27,2.85
58.54,97.18
45.36,51.57
50.14,67.81
53.68,67.29
58.66,96.8
24.9,7.48
43.44,43.53
46.21,50.21
48.09,59.23
20.42,5.26
24.29,7.42
18.17,2.86
51.89,72.18
22.54,6.63
56.62,95.93
24.52,7.04
47.41,51.24
20.56,5.69
20.14,5.98
26.78,8.66
18.66,4.47
41.4,40.44
51.25,79.67
26.78,8.87
43.42,42.79
45.34,58.61
57.12,91.77
57.89,91.72
28.14,10.2
17.68,2.65
50.94,78.21
52.19,68.64
22.72,6.25
20.3,5.54
18.35,3.0
58.05,92.51
50.95,69.54
28.21,10.36
20.44,5.01
50.38,80.92
26.16,9.18
40.53,44.96
57.35,103.91
20.78,5.84
58.44,107.08
26.18,9.38
22.74,6.61
46.67,55.62
28.24,11.11
17.13,3.6
47.25,58.35
24.62,7.96
57.42,96.63
55.13,107.98
20.08,5.24
28.67,10.5
20.41,5.49
22.34,6.6
24.05,7.85
26.33,8.97
26.17,9.83
28.9,10.21
48.87,49.38
40.04,42.26
18.89,4.66
43.87,41.78
28.35,10.6
20.39,5.91
58.75,97.85
26.9,9.15
55.61,99.18
41.69,44.83
28.87,11.14
24.02,7.9
17.85,2.52
38.01,26.94
58.06,100.08
24.07,8.17
22.31,6.7
22.28,6.67
51.35,71.8
56.54,106.2
28.57,10.32
18.19,2.71
22.74,6.42
58.86,96.46
22.9,6.46
26.99,9.39
26.61,9.67
22.59,6.63
57.03,106.29
22.42,6.82
17.31,4.71
20.19,5.44
42.15,41.25
28.46,10.51
22.28,6.44
17.43,1.15
43.94,44.16
28.74,10.18
20.0,5.95
17.77,4.83
38.8,27.49
47.65,55.42
22.52,6.91
26.57,9.65
46.43,54.37
24.08,8.05
36.03,24.92
57.38,100.77
36.51,29.4
41.98,42.68
38.89,25.81
43.2,43.57
48.85,56.31
47.38,51.73
43.71,38.18
20.96,5.55
48.57,58.4
52.32,76.77
37.73,26.4
52.13,77.66
24.57,7.18
20.16,5.42
57.67,94.12
47.03,49.61
35.98,27.68
58.85,98.06
26.35,8.54
20.42,5.5
51.36,74.9
20.19,5.7
26.63,9.86
22.07,6.52
56.09,104.92
52.35,76.1
35.54,27.34
24.95,7.45
46.03,59.26
28.65,11.2
24.28,7.31
